"date","intercn","gasprice","coalprice","priceratio","emission","transformed.emission"
"1/1/2006","EAST",9.3413134,2.0598862,0.220513552194919,5128208.47151918,0.0137554696688891
"1/1/2006","ERCOT",7.587534,1.6673827,0.219752913133569,587758.590983257,0.00922005458364672
"1/1/2006","WECC",7.8194442,1.6299193,0.208444393017089,885846.784422884,0.0158400553270321
"2/1/2006","EAST",8.5373983,2.0730097,0.242815155994303,5120354.14804204,0.0122028098209679
"2/1/2006","ERCOT",7.7168951,1.6530137,0.214207097359662,589263.577669373,0.0118042154428999
"2/1/2006","WECC",7.68856,1.5973077,0.207751217393114,885912.441949224,0.0159153477436922
"3/1/2006","EAST",6.5809369,2.0909662,0.317730777816757,5093493.02696244,0.00689284464168338
"3/1/2006","ERCOT",5.8348861,1.6899333,0.289625756362236,577538.644623877,-0.00832826369002038
"3/1/2006","WECC",5.5603962,1.5720334,0.282719673824682,881035.379212925,0.0103226021730209
"4/1/2006","EAST",6.883471,2.0443544,0.296994699331195,5101212.03919493,0.00841875586674057
"4/1/2006","ERCOT",6.5198569,1.6994301,0.260654509150347,579508.779517833,-0.00494541284663319
"4/1/2006","WECC",6.0146799,1.4962602,0.248768051646439,882753.156187051,0.0122924537174631
"5/1/2006","EAST",6.433435,2.032479,0.3159243856509,5094187.07941218,0.00703004644833061
"5/1/2006","ERCOT",6.1097178,1.6702178,0.273370694797066,578249.702726806,-0.00710733028562738
"5/1/2006","WECC",5.618979,1.6999832,0.302543077665889,880080.301333791,0.00922737173064414
"6/1/2006","EAST",6.3422909,1.9801198,0.312208921227502,5095599.87388025,0.00730933074955931
"6/1/2006","ERCOT",5.9624691,1.6472071,0.276262580547378,578054.692358174,-0.00744217588021989
"6/1/2006","WECC",5.8054361,1.5211247,0.262017301335898,882030.748544069,0.0114640366221832
"7/1/2006","EAST",5.7838449,1.9806747,0.342449483733563,5083410.18015064,0.00489964542560917
"7/1/2006","ERCOT",5.4678631,1.6178111,0.295876299463313,577490.621109475,-0.00841072321433778
"7/1/2006","WECC",5.2709708,1.4933711,0.283319934157101,881007.366222501,0.0102904784262929
"8/1/2006","EAST",8.9317589,1.971597,0.220740060504768,5128128.68302705,0.0137396969052113
"8/1/2006","ERCOT",8.2028656,1.6251634,0.198121422347819,593988.803098389,0.0199177374544013
"8/1/2006","WECC",7.690701,1.4409636,0.187364402802813,887985.775760535,0.0182929321867695
"9/1/2006","EAST",5.1239362,1.9550129,0.381545129308987,5064297.01961375,0.00112131403667526
